,intercept,glm,local-glm-boost,local-glm-boost-light,true
146464,0.08765412427834048,0.060342960250464796,0.06037186495796224,0.06754345096829113,0.0
416413,0.08765412427834048,0.10379673572247787,0.10383988931485087,0.11342723747687862,0.0
538805,0.08765412427834048,0.14188103390884763,0.1421209974254078,0.15043520255059986,0.0
222358,0.08765412427834048,0.1202500476484185,0.12028908594400807,0.1309256517553178,0.0
670820,0.08765412427834048,0.06461910162623385,0.06465263614758585,0.06941326881136965,0.0
187734,0.08765412427834048,0.09057067185881847,0.09067081310454785,0.08328891847915208,0.0
504079,0.08765412427834048,0.137734962293071,0.1378304342697979,0.1516984337802611,0.0
473825,0.08765412427834048,0.07507017410706036,0.07517597399382633,0.06940971280597832,0.0
22490,0.08765412427834048,0.06268150119452012,0.06272355049316632,0.06564565987767007,0.0
226744,0.08765412427834048,0.12030607921702295,0.11981763450334117,0.10951142228798588,0.0
332861,0.08765412427834048,0.14049623747932521,0.14393668473703428,0.15885688140451945,0.0
159187,0.08765412427834048,0.05615678449156618,0.0561780251269789,0.06020844677238929,0.0
200331,0.08765412427834048,0.07361157564090624,0.065294845044622,0.07137444702300129,0.0
514815,0.08765412427834048,0.05362767582194677,0.05364577721306597,0.06067855704022462,0.0
414618,0.08765412427834048,0.06956411850041516,0.06962574549813805,0.06438595477407294,0.0
279128,0.08765412427834048,0.07356732943340366,0.07326773720378467,0.06817268369983977,0.0
123730,0.08765412427834048,0.0814098297180286,0.08146114083523841,0.08495507796784592,0.0
360169,0.08765412427834048,0.06794656518643509,0.06802016572189477,0.06253857870653852,0.0
357167,0.08765412427834048,0.06337537140454438,0.06343013449331474,0.06898469010564179,0.0
660444,0.08765412427834048,0.07000080156988765,0.07009954787296493,0.06496728201655566,0.0
593843,0.08765412427834048,0.19674847450399574,0.19690078404233136,0.20993207742479397,0.0
224324,0.08765412427834048,0.07737242741960501,0.0773899580389992,0.08622566993879587,0.0
211601,0.08765412427834048,0.12500806919542914,0.1251227442476459,0.11596697928690713,0.0
442527,0.08765412427834048,0.068285644743563,0.06832500114796018,0.07455128371592643,0.0
483984,0.08765412427834048,0.16085447181502044,0.16091934721996762,0.17565423855153703,0.0
582496,0.08765412427834048,0.1455945123645001,0.14510489707508745,0.13154333244705632,0.0
